,video_id,comment,likes
1,0IZS7ucM9qQ,your cooking idea is very easy,0
2,0IZS7ucM9qQ,Mam sir namak h kaise bnega matar pulao 😢😮😅,0
3,0IZS7ucM9qQ,Can we use coconut milk or plain milk instead of water? Does that enhance flavor?,0
4,0IZS7ucM9qQ,Hello Kavita ji ! Can I add kismis in this recipe?,0
5,0IZS7ucM9qQ,Miss Kavita l saw you first time in master chief India 😊😊😊😊😊,0
6,0IZS7ucM9qQ,Jeera na dalne ka reason kya hai?,0
7,0IZS7ucM9qQ,Ma'am onion daal sakte hai ?????,0
8,0IZS7ucM9qQ,Wahh madam ji 😂,0
9,0IZS7ucM9qQ,Mujhe bhi khana hai matar Pulao 😋,0
10,0IZS7ucM9qQ,Thank you for sharing this recipe it was very delicious. Pls let me know if we double the quantity of rice then spice shud be doubled ?,0
11,0IZS7ucM9qQ,Kya lemon juice v add kr skte hai??,0
12,0IZS7ucM9qQ,Really it looks delicious 😋❤,0
13,0IZS7ucM9qQ,Very nice 🎉🎉❤,0
14,0IZS7ucM9qQ,This pulav is always a hit with my family- they wait for me to make it for them ❤❤❤,0
15,0IZS7ucM9qQ,I tried 1st time really yummy,0
16,0IZS7ucM9qQ,Lovely so we do not have to add onion and ginger garlic,0
17,0IZS7ucM9qQ,Ma'am rice or matar cups ke hisab se Kitna hoga,0
18,0IZS7ucM9qQ,Nice recipe...but i will definitely try this ❤👌🙂,0
19,0IZS7ucM9qQ,Maine abhi ye pulao banaya aur achha bana lekin aapne zira dalne ko mana kyo keya.I like zira ki Khusboo.I am missing zira now 😢.Aab to pulao ban gaya Aab mein Kya karo,0
20,0IZS7ucM9qQ,No ignger garlic,0
23,0IZS7ucM9qQ,will definitely try this weekend 😊,0
24,0IZS7ucM9qQ,Am going to make it but without kaju. Hate to use dry fruits in pullao. Am sure it will turn out well like your other recipes that i have followed. Thanks,0
25,0IZS7ucM9qQ,Can qe used soaked boiled dry peas?,0
26,0IZS7ucM9qQ,Easy and time saver,0
27,0IZS7ucM9qQ,Super Speciality matter pulav,0
30,0IZS7ucM9qQ,Moisture waale hi chahiye thode oily,1
31,0IZS7ucM9qQ,One of the best cooking video I have ever seen .Very informative and straight forward,0
32,0IZS7ucM9qQ,"I made this pulav first time, following your recipe, and my husband said ""pulav ho to aisa"", hotel ke tatse se bhi acha laga unhe. Thanks a lot.",17
33,0IZS7ucM9qQ,Maim your recipe very helpful and delicious 😋🤤,0
34,0IZS7ucM9qQ,Bahut badhiya hai try this recipe,0
35,0IZS7ucM9qQ,"I tried this recipe.....it wonderfully worked with correct proportion of rice & water, perfect timing & proper no. of whistles but the rice grains got stick together though nothing got stick on the  bottom of cooker. Only this difficulty am facing. Would you like to guide me to get rid of this?",0
36,0IZS7ucM9qQ,Thank you mam,0
37,0IZS7ucM9qQ,"Made it for my family,  it came out very nicely. Thank you.Why should we not use cumin seeds ?",0
38,0IZS7ucM9qQ,"Where is chilli in the recipe ,it will be plain without chilli",0
39,0IZS7ucM9qQ,I have got interest in cooking from you only.. thank you ma'am,0
40,0IZS7ucM9qQ,Very good recipe.,0
42,0IZS7ucM9qQ,What shall be the best non veg curry for this recipe,0
43,0IZS7ucM9qQ,This is the perfect recipe...I checked out others and in everything onions were added. Thanks,0
44,0IZS7ucM9qQ,Majedar lajatdar aap ki ressipi,0
45,0IZS7ucM9qQ,Aap koun sa rice use karti hain,0
46,0IZS7ucM9qQ,Why we need to wait for water to boil and then cover the lid? Please tell,0
47,0IZS7ucM9qQ,Turns out well every time I make it. Thank you for sharing this recipe!,0
48,0IZS7ucM9qQ,Kabita ma'm I tried it today it turned out really wonderful it looks so yummy and taste also very good..my kid and husband liked it very much ..thanks for making efforts for such recipies ..😊,0
49,0IZS7ucM9qQ,Absolutely easy recipe! Turned out good! I added very finely chopped small carrot for some added colour :),1
50,0IZS7ucM9qQ,Pullao turned out so delicious thankuu,0
53,0IZS7ucM9qQ,Lovely recipe thanks a lot 🥰❤️,1
54,0IZS7ucM9qQ,Bow.Realy amazing.Pripairation isvery nice.,1
55,0IZS7ucM9qQ,Very teste recipes 👍👍👍,1
56,0IZS7ucM9qQ,Very very beautiful 👌🏻👌🏻🥰,1
58,0IZS7ucM9qQ,Awesome recipe 👍,2
59,0IZS7ucM9qQ,Very nice recipe madam.... Loved it,1
60,0IZS7ucM9qQ,Mam aapne aapke veg pulao video me kaha tha ke high flame pe 1 siti abh kehrahe ho 2 siti main confused h gayi mam please suggest kijiye 🙏,0
61,0IZS7ucM9qQ,Hi mamAap ne pulav ki har recipe me pani ka naap alag alag bataya he,0
62,0IZS7ucM9qQ,Kavita ji I am big fan of yours.,1
63,0IZS7ucM9qQ,Apka recipe simple rehti hai acha lagta hai varna etna tham jham dekhate hai baki Youtubers,1
64,0IZS7ucM9qQ,"I love all yr recipes, bcse they r simple n easy. Kp it up.",1
65,0IZS7ucM9qQ,This is such a simple yet tasty recipie. I have made it so many times and each time it comes out so tasty!!,6
